about_property,address,allowed_floors,boundary_walls,plot_area,price,price_per,tranjection_type,width_facing_road
,"jogi talab, near IIM colony, Udaipur",,No,(288 sq.m.), 85 Lac," 2,741 per sq.ft. ",,
,"New Bhopalpura, Udaipur",2 Floors,No,(127.74 sq.m.), 68.75 Lac," 5,000 per sq.ft.  ",,30.0 Feet
,"Titrdi, Udaipur",,Yes,(189.52 sq.m.), 39 Lac," 1,911 per sq.ft. ",,30.0 Feet
,"Goverdhan vilas, Udaipur",1 Floors,No,(333.24 sq.m.), 95 Lac," 2,648 per sq.ft.  ",,40.0 Feet
,"Pahada, Udaipur",9 Floors,Yes,(157.94 sq.m.), 1 Crore," 5,883 per sq.ft.  ",,20.0 Feet
,"Rajnagar, Udaipur",3 Floors,Yes,(60.39 sq.m.), 13 Lac," 2,000 per sq.ft.  ",,40.0 Feet
,"Bajaj Nagar, Near Dabok, Udaipur",3 Floors,No,(116.13 sq.m.), 7.5 Lac, 600 per sq.ft.  ,,60.0 Feet
,"Urban Square, Sukher, Udaipur",3 Floors,Yes,(92.9 sq.m.), 15 Lac," 1,500 per sq.ft. ",,100.0 Feet
,"Asana Khemli, Udaipur",,Yes,(4613.38 sq.m.), 1.1 Crore, 221 per sq.ft.  ,,
,"Airport Road, Udaipur",,No,(167.23 sq.m.), 7.5 Lac, 417 per sq.ft.  ,,
,"Dabok, Udaipur",,,(125.88 sq.m.), 8.13 Lac, 600 per sq.ft. ,,
,"Mahaveer Hights, New Rto, Udaipur",1 Floors,No,(88.26 sq.m.), 23.51 Lac," 2,474 per sq.ft. ",,60.0 Feet
,"kurabad, Udaipur",,No,(167.23 sq.m.), 12 Lac, 666 per sq.ft. ,,
,"mountain valley, near pacific hospital, Udaipur",,Yes,(116.13 sq.m.), 5 Lac, 400 per sq.ft. ,,
,"Celebration Village, Umarda, Udaipur",,No,(92.9 sq.m.), 3.71 Lac, 371 per sq.ft.  ,,
,"Kota Bawri, Udaipur",,Yes,(1207.18 sq.m.), 4.3 Crore," 3,309 per sq.ft.  ",,80.0 Feet
,"OM planing, Airport Road, Udaipur",,,(2461.93 sq.m.), 80 Lac, 175 per sq.ft. ,,
,"Hou, Bhuwana, Udaipur",0 Floors,Yes,(74.32 sq.m.), 36 Lac," 4,875 per sq.ft. ",,
,"Lakhawali, Udaipur",,No,(232.26 sq.m.), 7.5 Lac, 300 per sq.ft. ,,
,"amberi, amberi main biodiversity road, Udaipur",0 Floors,No,(222.97 sq.m.), 35 Lac," 1,458 per sq.ft. ",,40.0 Feet
,"Kheda Kanpur, Udaipur",0 Floors,Yes,(1849.33 sq.m.), 2.39 Crore," 1,200 per sq.ft.  ",,
,"Sukher, Near Chirwa Ghata, Udaipur",4 Floors,Yes,(92.9 sq.m.), 13.5 Lac," 1,350 per sq.ft.  ",,60.0 Feet
,"debari, Udaipur",,No,(106.84 sq.m.), 6.9 Lac, 600 per sq.ft. ,,
,"Chitrakoot Nagar, Udaipur",,No,(167.41 sq.m.), 61 Lac," 3,385 per sq.ft. ",,42.0 Feet
