about_property,address,allowed_floors,boundary_walls,plot_area,price,price_per,tranjection_type,width_facing_road
,"Eklingpura, Udaipur",,No,(147.07 sq.m.), 40 Lac," 2,526 per sq.ft. ",,
,"LAKE VIEW HILLS RESIDENCY , Amberi, Udaipur",2 Floors,Yes,(116.13 sq.m.), 16.25 Lac," 1,350 per sq.ft.  ",,100.0 Feet
,"Video colony, Balicha, Udaipur",,Yes,(167.23 sq.m.), 22 Lac," 1,223 per sq.ft. ",,40.0 Feet
,"udaivihar colony, road no 12 madari industrial area, Udaipur",4 Floors,Yes,(97.55 sq.m.), 32 Lac," 3,047 per sq.ft. ",,21.0 Feet
,"SNG Parth City, Dheemra, Udaipur",,No,(116.13 sq.m.), 8 Lac, 640 per sq.ft. ,,30.0 Feet
,"Badi road, Udaipur",,No,(116.13 sq.m.), 32.5 Lac," 2,600 per sq.ft.  ",,40.0 Feet
,"pratapnagar, NB NAGAR, Udaipur",3 Floors,No,(92.9 sq.m.), 30.5 Lac," 3,050 per sq.ft. ",,30.0 Feet
,"Debari, Udaipur",,No,(88.26 sq.m.), 11 Lac," 1,157 per sq.ft.  ",,
,"kamli nohra, Udaipur",,No,(167.23 sq.m.), 10 Lac, 556 per sq.ft. ,,
,"sinhaada graam, Udaipur",,No,(116.13 sq.m.), 6 Lac, 480 per sq.ft. ,,
,"Chitrakoot Nagar, Udaipur",,No,(334.45 sq.m.), 2.8 Crore," 7,777 per sq.ft.  ",,
,"Transport Nagar, Udaipur",,Yes,(92.9 sq.m.), 22.5 Lac," 2,250 per sq.ft. ",,
,"Udar345, Savina Jogi Talaab Road, Udaipur",1 Floors,Yes,(232.91 sq.m.), 55 Lac," 2,193 per sq.ft. ",,60.0 Feet
,"girwa, Udaipur",,No,(167.23 sq.m.), 45 Lac," 2,500 per sq.ft. ",,
,"Sajjan Nagar, Udaipur",5 Floors,Yes,(218.32 sq.m.), 65 Lac," 3,000 per sq.ft.  ",,30.0 Feet
,"Surafala, Balicha, Udaipur",,Yes,(116.13 sq.m.), 35 Lac," 2,800 per sq.ft. ",,
,"Dabok, Udaipur",3 Floors,No,(139.35 sq.m.), 18.75 Lac," 1,250 per sq.ft.  ",,40.0 Feet
,"Madri, Udaipur",,Yes,(190.64 sq.m.), 73.5 Lac," 3,581 per sq.ft. ",,
,"Dabok, Udaipur",,No,(12634.81 sq.m.), 3 Crore, 220 per sq.ft.  ,,
,"Mahaveer Valley, Sukher, Udaipur",0 Floors,Yes,(92.9 sq.m.), 32.5 Lac," 3,250 per sq.ft.  ",,40.0 Feet
,"Airport Road, Udaipur",4 Floors,No,(167.23 sq.m.), 12 Lac, 667 per sq.ft.  ,,30.0 Feet
,"Titrdi, Udaipur",,Yes,(189.62 sq.m.), 39 Lac," 1,911 per sq.ft. ",,30.0 Feet
,"Transport Nagar, Udaipur",,Yes,(102.19 sq.m.), 24.75 Lac," 2,250 per sq.ft. ",,
,"Kashipuri, Udaipur",,Yes,(185.8 sq.m.), 80 Lac," 36,000 per sq.yards ",,
,"Baleecha, Udaipur",,Yes,(92.9 sq.m.), 20 Lac," 2,000 per sq.ft.  ",,20.0 Feet
,"Airport Road, Udaipur",,Yes,(464.52 sq.m.), 3 Crore," 6,000 per sq.ft. ",,
,"Udaipur, Udaipur",,No,(445.93 sq.m.), 38 Lac, 800 per sq.ft.  ,,
,"Land, 32/1 karjali complex, new sardarpura, Udaipur",,Yes,(195.1 sq.m.), 56 Lac," 2,666 per sq.ft. ",,20.0 Feet
,"Udai Residency Plot, Dabok, Udaipur",3 Floors,No,(180.23 sq.m.), 14 Lac, 752 per sq.ft.  ,,40.0 Feet
,"Savina, Udaipur",,Yes,(190.17 sq.m.), 75 Lac," 3,663 per sq.ft. ",,
,"agriculture land, tana village, 60 km from udaipur near akola, Udaipur",,No,(48640.34 sq.m.), 1.05 Crore," 350,000 per bigha  ",,
,"Ganapati Nagar, Udaipur",,Yes,(219.53 sq.m.), 65 Lac," 2,750 per sq.ft. ",,
,"Sector-9 Udaipur, Udaipur",4 Floors,No,(178.37 sq.m.), 65.28 Lac," 4,010 per sq.ft.  ",,30.0 Feet
,"Dabok, Udaipur",,No,(92.9 sq.m.), 4.1 Lac, 410 per sq.ft.  ,,
,"Sakroda, Udaipur",,No,(92.9 sq.m.), 4.8 Lac, 480 per sq.ft. ,,
,"Savina Jogi Talaab Road, Udaipur",,No,(167.23 sq.m.), 45 Lac," 2,500 per sq.ft.  ",,35.0 Feet
,"Nai, Udaipur",3 Floors,Yes,(199.37 sq.m.), 9 Lac, 419 per sq.ft.  ,,60.0 Feet
,"SNG Parth City, Udaipur Chittorgarh Highway, Udaipur",,No,(260.13 sq.m.), 20 Lac, 714 per sq.ft. ,,60.0 Feet
,"Gokul Village, Udaipur",3 Floors,Yes,(92.9 sq.m.), 24 Lac," 2,400 per sq.ft.  ",,30.0 Feet
,"Balicha, Udaipur",,Yes,(854.71 sq.m.), 82.8 Lac, 900 per sq.ft. ,,
,"VINAYAK PRIME CITY AAVASIY YOJNA FATEHNAGAR, Fatehnagar, Udaipur",,No,(130.99 sq.m.), 25 Lac," 1,773 per sq.ft.  ",,40.0 Feet
,"azad nagar housing society, Sajjangarh Road, Udaipur",3 Floors,Yes,(222.97 sq.m.), 68 Lac," 2,833 per sq.ft.  ",,30.0 Feet
,"Jv City, Gudli, Udaipur",0 Floors,No,(185.81 sq.m.), 12 Lac, 750 per sq.ft. ,,30.0 Feet
,"Shubh Kirti Campus, Dabok, Udaipur",0 Floors,No,(203.46 sq.m.), 21 Lac, 958 per sq.ft. ,,30.0 Feet
,"rampura bhend jastha hotel Kamal Nath Vihar, Udaipur",0 Floors,No,(78.97 sq.m.), 17.86 Lac," 2,101 per sq.ft.  ",,30.0 Feet
,"Kushal Bagh, Keshav Nagar, Udaipur",2 Floors,Yes,(241.55 sq.m.), 1.17 Crore," 4,500 per sq.ft.  ",,25.0 Feet
,"SUKHWADA, Udaipur",,No,(278.71 sq.m.), 12 Lac, 400 per sq.ft. ,,
,"Roop Sagar, Udaipur",,Yes,(334.45 sq.m.), 1.31 Crore," 3,638 per sq.ft. ",,
,"debari, Udaipur",,No,(167.23 sq.m.), 10.8 Lac, 600 per sq.ft. ,,
,"Titrdi, Udaipur",5 Floors,Yes,(325.16 sq.m.), 1.5 Crore," 4,285 per sq.ft. ",,100.0 Feet
,"Aishwarya Vihar, Goverdhan Vilas, Udaipur",,No,(260.13 sq.m.), 70 Lac," 2,500 per sq.ft.  ",,
,"Tekri, Udaipur",3 Floors,Yes,(250.84 sq.m.), 1.6 Crore," 5,925 per sq.ft.  ",,60.0 Feet
,"DCB Matra Chhaya Apartment, Umarda, Udaipur",5 Floors,No,(423.92 sq.m.), 20.53 Lac, 450 per sq.ft. ,,60.0 Feet
,"Chitrakoot nagar, Vistar yojna, Park facing, Opp Mahila thana, Udaipur",3 Floors,No,(112.41 sq.m.), 45 Lac," 3,719 per sq.ft. ",,
,"Nathdwara, Udaipur",4 Floors,Yes,(1335.95 sq.m.), 3.6 Crore," 2,503 per sq.ft. ",,20.0 Feet
,"Bajaj Nagar, Mavli, near Gudli Udaipur, Udaipur",,No,(363.25 sq.m.), 15 Lac, 384 per sq.ft. ,,40.0 Feet
,"Sneh City, Bhatewar, Udaipur",4 Floors,Yes,(92.9 sq.m.), 4.5 Lac, 450 per sq.ft.  ,,30.0 Feet
,"Vip Colony, Sector-9 Udaipur, Udaipur",9 Floors,No,(217.95 sq.m.), 1.51 Crore," 6,436 per sq.ft. ",,34.0 Feet
